sku,product_name,category,location,expected_qty,counted_qty,unit_cost,count_date
SKU-5313,Turkey Crown (kg),Poultry,Rathmines,47,48,16.0,2026-05-01
SKU-5314,Turkey Crown (kg),Poultry,Rathmines,13,13,16.0,2026-06-01
SKU-5315,Turkey Crown (kg),Poultry,Rathmines,31,32,16.0,2026-07-01
SKU-5316,Free-Range Duck (ea),Poultry,Naas,75,75,14.0,2026-05-01
SKU-5317,Free-Range Duck (ea),Poultry,Naas,44,45,14.0,2026-06-01
SKU-5318,Free-Range Duck (ea),Poultry,Naas,33,35,14.0,2026-07-01
SKU-5319,Free-Range Duck (ea),Poultry,Rathmines,39,39,14.0,2026-05-01
SKU-5320,Free-Range Duck (ea),Poultry,Rathmines,63,64,14.0,2026-06-01
SKU-5321,Free-Range Duck (ea),Poultry,Rathmines,29,29,14.0,2026-07-01
SKU-5322,Free-Range Duck (ea),Poultry,Swords,34,34,14.0,2026-05-01
SKU-5323,Free-Range Duck (ea),Poultry,Swords,54,54,14.0,2026-06-01
SKU-5324,Free-Range Duck (ea),Poultry,Swords,25,24,14.0,2026-07-01
SKU-5325,Free-Range Duck (ea),Poultry,Tralee,37,36,14.0,2026-05-01
SKU-5326,Free-Range Duck (ea),Poultry,Tralee,57,63,14.0,2026-06-01
SKU-5327,Free-Range Duck (ea),Poultry,Tralee,47,48,14.0,2026-07-01
SKU-5328,Dry-Cure Rashers (kg),Bacon & Ham,Swords,25,21,13.0,2026-05-01
SKU-5329,Dry-Cure Rashers (kg),Bacon & Ham,Swords,11,9,13.0,2026-06-01
SKU-5330,Dry-Cure Rashers (kg),Bacon & Ham,Swords,46,45,13.0,2026-07-01
SKU-5331,Dry-Cure Rashers (kg),Bacon & Ham,Naas,31,30,13.0,2026-05-01
SKU-5332,Dry-Cure Rashers (kg),Bacon & Ham,Naas,46,47,13.0,2026-06-01
SKU-5333,Dry-Cure Rashers (kg),Bacon & Ham,Naas,53,53,13.0,2026-07-01
SKU-5334,Dry-Cure Rashers (kg),Bacon & Ham,Rathmines,26,23,13.0,2026-05-01
SKU-5335,Dry-Cure Rashers (kg),Bacon & Ham,Rathmines,10,8,13.0,2026-06-01
SKU-5336,Dry-Cure Rashers (kg),Bacon & Ham,Rathmines,55,54,13.0,2026-07-01
SKU-5337,Dry-Cure Rashers (kg),Bacon & Ham,Clonmel,54,52,13.0,2026-05-01
SKU-5338,Dry-Cure Rashers (kg),Bacon & Ham,Clonmel,19,19,13.0,2026-06-01
SKU-5339,Dry-Cure Rashers (kg),Bacon & Ham,Clonmel,22,22,13.0,2026-07-01
SKU-5340,Traditional Ham (kg),Bacon & Ham,Tralee,53,53,15.0,2026-05-01
SKU-5341,Traditional Ham (kg),Bacon & Ham,Tralee,22,22,15.0,2026-06-01
SKU-5342,Traditional Ham (kg),Bacon & Ham,Tralee,33,32,15.0,2026-07-01
SKU-5343,Traditional Ham (kg),Bacon & Ham,Blanchardstown,30,20,15.0,2026-05-01
SKU-5344,Traditional Ham (kg),Bacon & Ham,Blanchardstown,33,33,15.0,2026-06-01
SKU-5345,Traditional Ham (kg),Bacon & Ham,Blanchardstown,55,54,15.0,2026-07-01
SKU-5346,Traditional Ham (kg),Bacon & Ham,Clonmel,50,50,15.0,2026-05-01
SKU-5347,Traditional Ham (kg),Bacon & Ham,Clonmel,37,36,15.0,2026-06-01
SKU-5348,Traditional Ham (kg),Bacon & Ham,Clonmel,22,22,15.0,2026-07-01
SKU-5349,Traditional Ham (kg),Bacon & Ham,Cornelscourt,24,24,15.0,2026-05-01
SKU-5350,Traditional Ham (kg),Bacon & Ham,Cornelscourt,28,28,15.0,2026-06-01
SKU-5351,Traditional Ham (kg),Bacon & Ham,Cornelscourt,42,42,15.0,2026-07-01
SKU-5352,Traditional Ham (kg),Bacon & Ham,Rathmines,40,35,15.0,2026-05-01
SKU-5353,Traditional Ham (kg),Bacon & Ham,Rathmines,19,20,15.0,2026-06-01
SKU-5354,Traditional Ham (kg),Bacon & Ham,Rathmines,39,39,15.0,2026-07-01
SKU-5355,Traditional Ham (kg),Bacon & Ham,Naas,40,40,15.0,2026-05-01
SKU-5356,Traditional Ham (kg),Bacon & Ham,Naas,34,33,15.0,2026-06-01
SKU-5357,Traditional Ham (kg),Bacon & Ham,Naas,35,35,15.0,2026-07-01
SKU-5358,Black Pudding (kg),Bacon & Ham,Tralee,42,42,8.5,2026-05-01
SKU-5359,Black Pudding (kg),Bacon & Ham,Tralee,15,15,8.5,2026-06-01
SKU-5360,Black Pudding (kg),Bacon & Ham,Tralee,42,42,8.5,2026-07-01
SKU-5361,Black Pudding (kg),Bacon & Ham,Limerick,49,48,8.5,2026-05-01
SKU-5362,Black Pudding (kg),Bacon & Ham,Limerick,42,41,8.5,2026-06-01
SKU-5363,Black Pudding (kg),Bacon & Ham,Limerick,22,22,8.5,2026-07-01
SKU-5364,Black Pudding (kg),Bacon & Ham,Clonmel,31,35,8.5,2026-05-01
SKU-5365,Black Pudding (kg),Bacon & Ham,Clonmel,24,24,8.5,2026-06-01
SKU-5366,Black Pudding (kg),Bacon & Ham,Clonmel,34,32,8.5,2026-07-01
SKU-5367,Black Pudding (kg),Bacon & Ham,Rathmines,39,39,8.5,2026-05-01
SKU-5368,Black Pudding (kg),Bacon & Ham,Rathmines,28,28,8.5,2026-06-01
SKU-5369,Black Pudding (kg),Bacon & Ham,Rathmines,16,15,8.5,2026-07-01
SKU-5370,White Pudding (kg),Bacon & Ham,Limerick,50,49,8.0,2026-05-01
SKU-5371,White Pudding (kg),Bacon & Ham,Limerick,30,30,8.0,2026-06-01
SKU-5372,White Pudding (kg),Bacon & Ham,Limerick,53,53,8.0,2026-07-01
SKU-5373,White Pudding (kg),Bacon & Ham,Swords,43,43,8.0,2026-05-01
SKU-5374,White Pudding (kg),Bacon & Ham,Swords,53,57,8.0,2026-06-01
SKU-5375,White Pudding (kg),Bacon & Ham,Swords,36,31,8.0,2026-07-01
SKU-5376,White Pudding (kg),Bacon & Ham,Tralee,16,15,8.0,2026-05-01
SKU-5377,White Pudding (kg),Bacon & Ham,Tralee,17,17,8.0,2026-06-01
SKU-5378,White Pudding (kg),Bacon & Ham,Tralee,37,37,8.0,2026-07-01
SKU-5379,White Pudding (kg),Bacon & Ham,Rathmines,9,8,8.0,2026-05-01
SKU-5380,White Pudding (kg),Bacon & Ham,Rathmines,23,22,8.0,2026-06-01
SKU-5381,White Pudding (kg),Bacon & Ham,Rathmines,42,42,8.0,2026-07-01
SKU-5382,White Pudding (kg),Bacon & Ham,Blanchardstown,54,55,8.0,2026-05-01
SKU-5383,White Pudding (kg),Bacon & Ham,Blanchardstown,52,52,8.0,2026-06-01
SKU-5384,White Pudding (kg),Bacon & Ham,Blanchardstown,51,51,8.0,2026-07-01
SKU-5385,White Pudding (kg),Bacon & Ham,Clonmel,25,24,8.0,2026-05-01
SKU-5386,White Pudding (kg),Bacon & Ham,Clonmel,39,39,8.0,2026-06-01
SKU-5387,White Pudding (kg),Bacon & Ham,Clonmel,24,24,8.0,2026-07-01
SKU-5388,Spiced Beef (kg),Bacon & Ham,Naas,44,49,17.0,2026-05-01
SKU-5389,Spiced Beef (kg),Bacon & Ham,Naas,34,34,17.0,2026-06-01
SKU-5390,Spiced Beef (kg),Bacon & Ham,Naas,27,26,17.0,2026-07-01
SKU-5391,Spiced Beef (kg),Bacon & Ham,Blanchardstown,48,46,17.0,2026-05-01
SKU-5392,Spiced Beef (kg),Bacon & Ham,Blanchardstown,24,24,17.0,2026-06-01
SKU-5393,Spiced Beef (kg),Bacon & Ham,Blanchardstown,51,51,17.0,2026-07-01
SKU-5394,Spiced Beef (kg),Bacon & Ham,Rathmines,49,48,17.0,2026-05-01
SKU-5395,Spiced Beef (kg),Bacon & Ham,Rathmines,43,44,17.0,2026-06-01
SKU-5396,Spiced Beef (kg),Bacon & Ham,Rathmines,11,14,17.0,2026-07-01
SKU-5397,Spiced Beef (kg),Bacon & Ham,Tralee,50,49,17.0,2026-05-01
SKU-5398,Spiced Beef (kg),Bacon & Ham,Tralee,25,25,17.0,2026-06-01
SKU-5399,Spiced Beef (kg),Bacon & Ham,Tralee,34,31,17.0,2026-07-01
SKU-5400,Spiced Beef (kg),Bacon & Ham,Clonmel,55,54,17.0,2026-05-01
SKU-5401,Spiced Beef (kg),Bacon & Ham,Clonmel,24,24,17.0,2026-06-01
SKU-5402,Spiced Beef (kg),Bacon & Ham,Clonmel,19,19,17.0,2026-07-01
SKU-5403,Spiced Beef (kg),Bacon & Ham,Cornelscourt,49,45,17.0,2026-05-01
SKU-5404,Spiced Beef (kg),Bacon & Ham,Cornelscourt,40,40,17.0,2026-06-01
SKU-5405,Spiced Beef (kg),Bacon & Ham,Cornelscourt,30,30,17.0,2026-07-01
